scenario,crim_pos,crim_strat,crim_bounded_rat,crim_bound_rat_time,crim_loose_goal,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
216,centre,random,TRUE,3,FALSE,TRUE,10,furthest,metro_platform,main,3,5
217,centre,random,TRUE,3,FALSE,TRUE,10,furthest,metro_platform,main,5,5
218,centre,random,TRUE,3,FALSE,TRUE,10,furthest,metro_platform,main,10,5
219,centre,random,TRUE,3,FALSE,TRUE,10,furthest,metro_platform,side,3,5
220,centre,random,TRUE,3,FALSE,TRUE,10,furthest,metro_platform,side,5,5
221,centre,random,TRUE,3,FALSE,TRUE,10,furthest,metro_platform,side,10,5
222,centre,random,TRUE,3,FALSE,TRUE,10,furthest,station_exit,main,3,5
223,centre,random,TRUE,3,FALSE,TRUE,10,furthest,station_exit,main,5,5
224,centre,random,TRUE,3,FALSE,TRUE,10,furthest,station_exit,main,10,5
225,centre,random,TRUE,3,FALSE,TRUE,10,furthest,station_exit,side,3,5
226,centre,random,TRUE,3,FALSE,TRUE,10,furthest,station_exit,side,5,5
227,centre,random,TRUE,3,FALSE,TRUE,10,furthest,station_exit,side,10,5
228,centre,random,TRUE,3,FALSE,TRUE,10,largest,metro_platform,main,3,5
229,centre,random,TRUE,3,FALSE,TRUE,10,largest,metro_platform,main,5,5
230,centre,random,TRUE,3,FALSE,TRUE,10,largest,metro_platform,main,10,5
231,centre,random,TRUE,3,FALSE,TRUE,10,largest,metro_platform,side,3,5
232,centre,random,TRUE,3,FALSE,TRUE,10,largest,metro_platform,side,5,5
233,centre,random,TRUE,3,FALSE,TRUE,10,largest,metro_platform,side,10,5
234,centre,random,TRUE,3,FALSE,TRUE,10,largest,station_exit,main,3,5
235,centre,random,TRUE,3,FALSE,TRUE,10,largest,station_exit,main,5,5
236,centre,random,TRUE,3,FALSE,TRUE,10,largest,station_exit,main,10,5
237,centre,random,TRUE,3,FALSE,TRUE,10,largest,station_exit,side,3,5
238,centre,random,TRUE,3,FALSE,TRUE,10,largest,station_exit,side,5,5
239,centre,random,TRUE,3,FALSE,TRUE,10,largest,station_exit,side,10,5
240,centre,random,TRUE,3,FALSE,TRUE,10,surround,metro_platform,main,3,5
241,centre,random,TRUE,3,FALSE,TRUE,10,surround,metro_platform,main,5,5
242,centre,random,TRUE,3,FALSE,TRUE,10,surround,metro_platform,main,10,5
243,centre,random,TRUE,3,FALSE,TRUE,10,surround,metro_platform,side,3,5
244,centre,random,TRUE,3,FALSE,TRUE,10,surround,metro_platform,side,5,5
245,centre,random,TRUE,3,FALSE,TRUE,10,surround,metro_platform,side,10,5
246,centre,random,TRUE,3,FALSE,TRUE,10,surround,station_exit,main,3,5
247,centre,random,TRUE,3,FALSE,TRUE,10,surround,station_exit,main,5,5
248,centre,random,TRUE,3,FALSE,TRUE,10,surround,station_exit,main,10,5
249,centre,random,TRUE,3,FALSE,TRUE,10,surround,station_exit,side,3,5
250,centre,random,TRUE,3,FALSE,TRUE,10,surround,station_exit,side,5,5
251,centre,random,TRUE,3,FALSE,TRUE,10,surround,station_exit,side,10,5
252,centre,random,TRUE,3,FALSE,FALSE,10,furthest,metro_platform,main,3,5
253,centre,random,TRUE,3,FALSE,FALSE,10,furthest,metro_platform,main,5,5
254,centre,random,TRUE,3,FALSE,FALSE,10,furthest,metro_platform,main,10,5
255,centre,random,TRUE,3,FALSE,FALSE,10,furthest,metro_platform,side,3,5
256,centre,random,TRUE,3,FALSE,FALSE,10,furthest,metro_platform,side,5,5
257,centre,random,TRUE,3,FALSE,FALSE,10,furthest,metro_platform,side,10,5
258,centre,random,TRUE,3,FALSE,FALSE,10,furthest,station_exit,main,3,5
259,centre,random,TRUE,3,FALSE,FALSE,10,furthest,station_exit,main,5,5
260,centre,random,TRUE,3,FALSE,FALSE,10,furthest,station_exit,main,10,5
261,centre,random,TRUE,3,FALSE,FALSE,10,furthest,station_exit,side,3,5
262,centre,random,TRUE,3,FALSE,FALSE,10,furthest,station_exit,side,5,5
263,centre,random,TRUE,3,FALSE,FALSE,10,furthest,station_exit,side,10,5
264,centre,random,TRUE,3,FALSE,FALSE,10,largest,metro_platform,main,3,5
265,centre,random,TRUE,3,FALSE,FALSE,10,largest,metro_platform,main,5,5
266,centre,random,TRUE,3,FALSE,FALSE,10,largest,metro_platform,main,10,5
267,centre,random,TRUE,3,FALSE,FALSE,10,largest,metro_platform,side,3,5
268,centre,random,TRUE,3,FALSE,FALSE,10,largest,metro_platform,side,5,5
269,centre,random,TRUE,3,FALSE,FALSE,10,largest,metro_platform,side,10,5
270,centre,random,TRUE,3,FALSE,FALSE,10,largest,station_exit,main,3,5
271,centre,random,TRUE,3,FALSE,FALSE,10,largest,station_exit,main,5,5
272,centre,random,TRUE,3,FALSE,FALSE,10,largest,station_exit,main,10,5
273,centre,random,TRUE,3,FALSE,FALSE,10,largest,station_exit,side,3,5
274,centre,random,TRUE,3,FALSE,FALSE,10,largest,station_exit,side,5,5
275,centre,random,TRUE,3,FALSE,FALSE,10,largest,station_exit,side,10,5
276,centre,random,TRUE,3,FALSE,FALSE,10,surround,metro_platform,main,3,5
277,centre,random,TRUE,3,FALSE,FALSE,10,surround,metro_platform,main,5,5
278,centre,random,TRUE,3,FALSE,FALSE,10,surround,metro_platform,main,10,5
279,centre,random,TRUE,3,FALSE,FALSE,10,surround,metro_platform,side,3,5
280,centre,random,TRUE,3,FALSE,FALSE,10,surround,metro_platform,side,5,5
281,centre,random,TRUE,3,FALSE,FALSE,10,surround,metro_platform,side,10,5
282,centre,random,TRUE,3,FALSE,FALSE,10,surround,station_exit,main,3,5
283,centre,random,TRUE,3,FALSE,FALSE,10,surround,station_exit,main,5,5
284,centre,random,TRUE,3,FALSE,FALSE,10,surround,station_exit,main,10,5
285,centre,random,TRUE,3,FALSE,FALSE,10,surround,station_exit,side,3,5
286,centre,random,TRUE,3,FALSE,FALSE,10,surround,station_exit,side,5,5
287,centre,random,TRUE,3,FALSE,FALSE,10,surround,station_exit,side,10,5
288,centre,random,TRUE,5,TRUE,TRUE,10,furthest,metro_platform,main,3,5
289,centre,random,TRUE,5,TRUE,TRUE,10,furthest,metro_platform,main,5,5
290,centre,random,TRUE,5,TRUE,TRUE,10,furthest,metro_platform,main,10,5
291,centre,random,TRUE,5,TRUE,TRUE,10,furthest,metro_platform,side,3,5
292,centre,random,TRUE,5,TRUE,TRUE,10,furthest,metro_platform,side,5,5
293,centre,random,TRUE,5,TRUE,TRUE,10,furthest,metro_platform,side,10,5
294,centre,random,TRUE,5,TRUE,TRUE,10,furthest,station_exit,main,3,5
295,centre,random,TRUE,5,TRUE,TRUE,10,furthest,station_exit,main,5,5
296,centre,random,TRUE,5,TRUE,TRUE,10,furthest,station_exit,main,10,5
297,centre,random,TRUE,5,TRUE,TRUE,10,furthest,station_exit,side,3,5
298,centre,random,TRUE,5,TRUE,TRUE,10,furthest,station_exit,side,5,5
299,centre,random,TRUE,5,TRUE,TRUE,10,furthest,station_exit,side,10,5
300,centre,random,TRUE,5,TRUE,TRUE,10,largest,metro_platform,main,3,5
301,centre,random,TRUE,5,TRUE,TRUE,10,largest,metro_platform,main,5,5
302,centre,random,TRUE,5,TRUE,TRUE,10,largest,metro_platform,main,10,5
303,centre,random,TRUE,5,TRUE,TRUE,10,largest,metro_platform,side,3,5
304,centre,random,TRUE,5,TRUE,TRUE,10,largest,metro_platform,side,5,5
305,centre,random,TRUE,5,TRUE,TRUE,10,largest,metro_platform,side,10,5
