scenario,crim_pos,crim_strat,crim_bounded_rat,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
202,centre,to_train,True,False,10,largest,station_exit,side,5,5
203,centre,to_train,True,False,10,largest,station_exit,side,10,5
204,centre,to_train,True,False,10,surround,metro_platform,main,3,5
205,centre,to_train,True,False,10,surround,metro_platform,main,5,5
206,centre,to_train,True,False,10,surround,metro_platform,main,10,5
207,centre,to_train,True,False,10,surround,metro_platform,side,3,5
208,centre,to_train,True,False,10,surround,metro_platform,side,5,5
209,centre,to_train,True,False,10,surround,metro_platform,side,10,5
210,centre,to_train,True,False,10,surround,station_exit,main,3,5
211,centre,to_train,True,False,10,surround,station_exit,main,5,5
212,centre,to_train,True,False,10,surround,station_exit,main,10,5
213,centre,to_train,True,False,10,surround,station_exit,side,3,5
214,centre,to_train,True,False,10,surround,station_exit,side,5,5
215,centre,to_train,True,False,10,surround,station_exit,side,10,5
216,centre,to_train,False,True,10,furthest,metro_platform,main,3,5
217,centre,to_train,False,True,10,furthest,metro_platform,main,5,5
218,centre,to_train,False,True,10,furthest,metro_platform,main,10,5
219,centre,to_train,False,True,10,furthest,metro_platform,side,3,5
220,centre,to_train,False,True,10,furthest,metro_platform,side,5,5
221,centre,to_train,False,True,10,furthest,metro_platform,side,10,5
222,centre,to_train,False,True,10,furthest,station_exit,main,3,5
223,centre,to_train,False,True,10,furthest,station_exit,main,5,5
224,centre,to_train,False,True,10,furthest,station_exit,main,10,5
225,centre,to_train,False,True,10,furthest,station_exit,side,3,5
226,centre,to_train,False,True,10,furthest,station_exit,side,5,5
227,centre,to_train,False,True,10,furthest,station_exit,side,10,5
228,centre,to_train,False,True,10,largest,metro_platform,main,3,5
229,centre,to_train,False,True,10,largest,metro_platform,main,5,5
230,centre,to_train,False,True,10,largest,metro_platform,main,10,5
231,centre,to_train,False,True,10,largest,metro_platform,side,3,5
232,centre,to_train,False,True,10,largest,metro_platform,side,5,5
233,centre,to_train,False,True,10,largest,metro_platform,side,10,5
234,centre,to_train,False,True,10,largest,station_exit,main,3,5
235,centre,to_train,False,True,10,largest,station_exit,main,5,5
236,centre,to_train,False,True,10,largest,station_exit,main,10,5
237,centre,to_train,False,True,10,largest,station_exit,side,3,5
238,centre,to_train,False,True,10,largest,station_exit,side,5,5
239,centre,to_train,False,True,10,largest,station_exit,side,10,5
240,centre,to_train,False,True,10,surround,metro_platform,main,3,5
241,centre,to_train,False,True,10,surround,metro_platform,main,5,5
242,centre,to_train,False,True,10,surround,metro_platform,main,10,5
243,centre,to_train,False,True,10,surround,metro_platform,side,3,5
244,centre,to_train,False,True,10,surround,metro_platform,side,5,5
245,centre,to_train,False,True,10,surround,metro_platform,side,10,5
246,centre,to_train,False,True,10,surround,station_exit,main,3,5
247,centre,to_train,False,True,10,surround,station_exit,main,5,5
248,centre,to_train,False,True,10,surround,station_exit,main,10,5
249,centre,to_train,False,True,10,surround,station_exit,side,3,5
250,centre,to_train,False,True,10,surround,station_exit,side,5,5
251,centre,to_train,False,True,10,surround,station_exit,side,10,5
252,centre,to_train,False,False,10,furthest,metro_platform,main,3,5
253,centre,to_train,False,False,10,furthest,metro_platform,main,5,5
254,centre,to_train,False,False,10,furthest,metro_platform,main,10,5
