scenario,crim_pos,crim_strat,crim_bounded_rat,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
349,end,to_train,False,10,surround,metro_platform,main,5,5
350,end,to_train,False,10,surround,metro_platform,main,10,5
351,end,to_train,False,10,surround,metro_platform,side,3,5
352,end,to_train,False,10,surround,metro_platform,side,5,5
353,end,to_train,False,10,surround,metro_platform,side,10,5
354,end,to_train,False,10,surround,station_exit,main,3,5
355,end,to_train,False,10,surround,station_exit,main,5,5
356,end,to_train,False,10,surround,station_exit,main,10,5
357,end,to_train,False,10,surround,station_exit,side,3,5
358,end,to_train,False,10,surround,station_exit,side,5,5
359,end,to_train,False,10,surround,station_exit,side,10,5
360,end,furthest,True,10,furthest,metro_platform,main,3,5
361,end,furthest,True,10,furthest,metro_platform,main,5,5
362,end,furthest,True,10,furthest,metro_platform,main,10,5
363,end,furthest,True,10,furthest,metro_platform,side,3,5
364,end,furthest,True,10,furthest,metro_platform,side,5,5
365,end,furthest,True,10,furthest,metro_platform,side,10,5
366,end,furthest,True,10,furthest,station_exit,main,3,5
367,end,furthest,True,10,furthest,station_exit,main,5,5
368,end,furthest,True,10,furthest,station_exit,main,10,5
369,end,furthest,True,10,furthest,station_exit,side,3,5
370,end,furthest,True,10,furthest,station_exit,side,5,5
371,end,furthest,True,10,furthest,station_exit,side,10,5
372,end,furthest,True,10,largest,metro_platform,main,3,5
373,end,furthest,True,10,largest,metro_platform,main,5,5
374,end,furthest,True,10,largest,metro_platform,main,10,5
375,end,furthest,True,10,largest,metro_platform,side,3,5
376,end,furthest,True,10,largest,metro_platform,side,5,5
377,end,furthest,True,10,largest,metro_platform,side,10,5
378,end,furthest,True,10,largest,station_exit,main,3,5
379,end,furthest,True,10,largest,station_exit,main,5,5
380,end,furthest,True,10,largest,station_exit,main,10,5
381,end,furthest,True,10,largest,station_exit,side,3,5
382,end,furthest,True,10,largest,station_exit,side,5,5
383,end,furthest,True,10,largest,station_exit,side,10,5
384,end,furthest,True,10,surround,metro_platform,main,3,5
385,end,furthest,True,10,surround,metro_platform,main,5,5
386,end,furthest,True,10,surround,metro_platform,main,10,5
387,end,furthest,True,10,surround,metro_platform,side,3,5
388,end,furthest,True,10,surround,metro_platform,side,5,5
389,end,furthest,True,10,surround,metro_platform,side,10,5
390,end,furthest,True,10,surround,station_exit,main,3,5
391,end,furthest,True,10,surround,station_exit,main,5,5
392,end,furthest,True,10,surround,station_exit,main,10,5
393,end,furthest,True,10,surround,station_exit,side,3,5
394,end,furthest,True,10,surround,station_exit,side,5,5
395,end,furthest,True,10,surround,station_exit,side,10,5
396,end,furthest,False,10,furthest,metro_platform,main,3,5
397,end,furthest,False,10,furthest,metro_platform,main,5,5
398,end,furthest,False,10,furthest,metro_platform,main,10,5
399,end,furthest,False,10,furthest,metro_platform,side,3,5
400,end,furthest,False,10,furthest,metro_platform,side,5,5
401,end,furthest,False,10,furthest,metro_platform,side,10,5
402,end,furthest,False,10,furthest,station_exit,main,3,5
403,end,furthest,False,10,furthest,station_exit,main,5,5
404,end,furthest,False,10,furthest,station_exit,main,10,5
405,end,furthest,False,10,furthest,station_exit,side,3,5
406,end,furthest,False,10,furthest,station_exit,side,5,5
407,end,furthest,False,10,furthest,station_exit,side,10,5
408,end,furthest,False,10,largest,metro_platform,main,3,5
409,end,furthest,False,10,largest,metro_platform,main,5,5
410,end,furthest,False,10,largest,metro_platform,main,10,5
411,end,furthest,False,10,largest,metro_platform,side,3,5
412,end,furthest,False,10,largest,metro_platform,side,5,5
413,end,furthest,False,10,largest,metro_platform,side,10,5
414,end,furthest,False,10,largest,station_exit,main,3,5
415,end,furthest,False,10,largest,station_exit,main,5,5
416,end,furthest,False,10,largest,station_exit,main,10,5
417,end,furthest,False,10,largest,station_exit,side,3,5
418,end,furthest,False,10,largest,station_exit,side,5,5
419,end,furthest,False,10,largest,station_exit,side,10,5
420,end,furthest,False,10,surround,metro_platform,main,3,5
421,end,furthest,False,10,surround,metro_platform,main,5,5
422,end,furthest,False,10,surround,metro_platform,main,10,5
423,end,furthest,False,10,surround,metro_platform,side,3,5
424,end,furthest,False,10,surround,metro_platform,side,5,5
425,end,furthest,False,10,surround,metro_platform,side,10,5
426,end,furthest,False,10,surround,station_exit,main,3,5
427,end,furthest,False,10,surround,station_exit,main,5,5
428,end,furthest,False,10,surround,station_exit,main,10,5
429,end,furthest,False,10,surround,station_exit,side,3,5
430,end,furthest,False,10,surround,station_exit,side,5,5
431,end,furthest,False,10,surround,station_exit,side,10,5
432,one_line,random,True,10,furthest,metro_platform,main,3,5
433,one_line,random,True,10,furthest,metro_platform,main,5,5
434,one_line,random,True,10,furthest,metro_platform,main,10,5
435,one_line,random,True,10,furthest,metro_platform,side,3,5
436,one_line,random,True,10,furthest,metro_platform,side,5,5
437,one_line,random,True,10,furthest,metro_platform,side,10,5
438,one_line,random,True,10,furthest,station_exit,main,3,5
439,one_line,random,True,10,furthest,station_exit,main,5,5
440,one_line,random,True,10,furthest,station_exit,main,10,5
441,one_line,random,True,10,furthest,station_exit,side,3,5
442,one_line,random,True,10,furthest,station_exit,side,5,5
443,one_line,random,True,10,furthest,station_exit,side,10,5
444,one_line,random,True,10,largest,metro_platform,main,3,5
445,one_line,random,True,10,largest,metro_platform,main,5,5
446,one_line,random,True,10,largest,metro_platform,main,10,5
447,one_line,random,True,10,largest,metro_platform,side,3,5
448,one_line,random,True,10,largest,metro_platform,side,5,5
449,one_line,random,True,10,largest,metro_platform,side,10,5
450,one_line,random,True,10,largest,station_exit,main,3,5
451,one_line,random,True,10,largest,station_exit,main,5,5
452,one_line,random,True,10,largest,station_exit,main,10,5
453,one_line,random,True,10,largest,station_exit,side,3,5
454,one_line,random,True,10,largest,station_exit,side,5,5
455,one_line,random,True,10,largest,station_exit,side,10,5
